command_id,icon,shortcut
chapter,folder,Ctrl+Alt+1
character,,Ctrl+Alt+3
location,,Ctrl+Alt+4
memo,clipboard,Ctrl+Alt+5
new-entity:characters,user,
new-entity:items,briefcase,
new-entity:locations,map,
new-entity:lore,book-content,
quick-note,note,Ctrl+Shift+Q
scene,file,Ctrl+Alt+2
delete-line,,Ctrl+Shift+Delete
editor-redo,redo,Ctrl+Shift+Z / Ctrl+Y
editor-undo,undo,Ctrl+Z
find,search,Ctrl+F
global-search,search-folder,Ctrl+Shift+F
goto,file,Ctrl+G
goto-page,,Ctrl+Shift+.
goto-scene,,"Ctrl+Shift+,"
insert-image,image-add,Ctrl+Shift+I
nbsp,,Ctrl+Shift+Space
project-replace,search,Ctrl+Alt+Shift+H
quick-open,file-search,Ctrl+Shift+O
replace,search,Ctrl+H
select-scene,,Ctrl+Shift+A
thesaurus,,Ctrl+Alt+Shift+T
backup-now,archive,
close-all-tabs,tabs-x,Ctrl+Shift+W
close-tab,tab-close,Ctrl+W
compile,,Ctrl+Alt+X
export-blog,,Ctrl+Shift+B
export-hub,book-content,Ctrl+Shift+E
export-pdf,,Ctrl+Alt+Shift+P
import-scrivener,,Ctrl+Alt+Shift+I
new-from-template,star,Ctrl+Shift+N
new-project,,Ctrl+N
next-tab,,Ctrl+Tab / Ctrl+PageDown
open-project,folder,Ctrl+O
prev-tab,,Ctrl+Shift+Tab / Ctrl+PageUp
print,,Ctrl+P
project-doctor,checklist,Ctrl+Alt+Shift+D
reopen-closed-tab,undo,Ctrl+Alt+Shift+Z
save,,Ctrl+S
save-all,save,Ctrl+Alt+S
save-as,,Ctrl+Shift+S
fmt:align:center,align-center,Ctrl+Shift+K
fmt:align:justify,align-justify,Ctrl+Shift+J
fmt:align:left,align-left,Ctrl+Shift+L
fmt:align:right,align-right,Ctrl+Shift+R
fmt:bold,bold,Ctrl+B
fmt:clear,,Ctrl+Space / Ctrl+Alt+Space
fmt:heading:1,,Ctrl+1
fmt:heading:2,,Ctrl+2
fmt:heading:3,,Ctrl+3
fmt:italic,italic,Ctrl+I
fmt:ol,list-ol,Ctrl+Shift+7
fmt:paragraph,,Ctrl+0
fmt:strike,strikethrough,Ctrl+Shift+X
fmt:sub,subscript,Ctrl+Alt+-
fmt:sup,superscript,Ctrl+Alt+=
fmt:ul,list-ul,Ctrl+Shift+8
fmt:underline,underline,Ctrl+U
text-case-cycle,,Ctrl+Alt+U
about,,Ctrl+Alt+Shift+/
cheatsheet,,Ctrl+Alt+/
dev-console,wrench,Ctrl+Shift+`
settings,cog,"Ctrl+,"
sprint,timer,Ctrl+Alt+Shift+S
ai-assistant,bot,Ctrl+Alt+Shift+A
gallery,image,Ctrl+Shift+G
kanban,kanban,Ctrl+K
toggle-panel:ai-analyzer,brain,Ctrl+Alt+A
toggle-panel:ai-chat,chat,Ctrl+Alt+W
toggle-panel:ai-hub,brain,Ctrl+Alt+Q
toggle-panel:backlinks,mention,Ctrl+Alt+Shift+B
toggle-panel:books,book,Ctrl+Alt+K
toggle-panel:branch,branch,Ctrl+Alt+B
toggle-panel:chapters,chapters,Ctrl+Alt+Shift+K
toggle-panel:codex,book-open,Ctrl+Alt+C
toggle-panel:comments,chat,Ctrl+Alt+O
toggle-panel:dashboard,chart,Ctrl+Alt+D
toggle-panel:dialogue,chat,Ctrl+Alt+L
toggle-panel:dlgb,bot,Ctrl+Alt+V
toggle-panel:floorplan,floorplan,Ctrl+Alt+F
toggle-panel:gallery,image,
toggle-panel:gallery-board,camera,Ctrl+Alt+G
toggle-panel:history,history,Ctrl+Alt+H
toggle-panel:kanban,kanban,
toggle-panel:log,clipboard,Ctrl+Alt+9
toggle-panel:maps,map,Ctrl+Alt+M
toggle-panel:network,network,Ctrl+Alt+N
toggle-panel:notes,bookmark,Ctrl+Alt+8
toggle-panel:outline,list-ul,Ctrl+Alt+7
toggle-panel:planner,layout,Ctrl+Alt+P
toggle-panel:planner-props,clipboard,
toggle-panel:player,film,Ctrl+Alt+Y
toggle-panel:plugins,extension,Ctrl+Alt+E
toggle-panel:props,clipboard,Ctrl+Alt+I
toggle-panel:record,note,Ctrl+Alt+J
toggle-panel:search,search,Ctrl+Alt+0
toggle-panel:starter,star,Ctrl+Alt+Z
toggle-panel:timeline,timeline,Ctrl+Alt+T
toggle-panel:tree,book-content,Ctrl+Alt+6
sp-element:act-break,,Ctrl+8
sp-element:dialogue,,Ctrl+5
sp-element:note,,Ctrl+9
sp-element:parenthetical,,Ctrl+4
sp-element:shot,,Ctrl+7
sp-element:transition,,Ctrl+6
sp-find-error,,Ctrl+Shift+U
toggle-format,,Ctrl+Shift+M
fmtbar-align,,Ctrl+Shift+;
fmtbar-here,,Ctrl+Shift+/
fmtbar-lock,,Ctrl+Shift+=
fmtbar-opacity,,Ctrl+Shift+'
focus-mode,expand,Ctrl+Shift+D
line-numbers,list-ol,Ctrl+Alt+R
onset-toggle,swap,Ctrl+Alt+Shift+O
panels-hide-all,panel-hide-all,Ctrl+\
panels-hide-left,panel-hide-left,Ctrl+Shift+[
panels-hide-right,panel-hide-right,Ctrl+Shift+]
read-book,,Ctrl+Alt+Shift+R
reading-mode,book-open,Ctrl+Shift+H
reveal-active,target,Ctrl+Shift+1
split-view,dock-right,Ctrl+Shift+\
typewriter,edit,Ctrl+Shift+T
workspace-menu,collection,Ctrl+Shift+Y
zoom:-1,zoom-out,Ctrl+-
zoom:0,reset,Ctrl+Shift+0
zoom:1,zoom-in,Ctrl+=
scratchpad,note,
ai-analyzer,brain,
ai-chat,,
ai-chat-dialog,,
ai-chat-new,plus,
ai-chat-toggle,chat,
ai-consistency,,
ai-dialogue,,
ai-menu,brain,
ai-plot,,
ai-settings,,
ai-summary,,
ai-title,,
ai-world,,
all-notes,,
auto-fit-width,,
auto-sync,,
auto-sync:false,,
auto-sync:true,,
books,,
branch-sync,,
branching,branch,
changelog,,
chapters,chapters,
char-map,font,
check-update,,
comments,chat,
confirm-quit,,
custom-status,,
dashboard,,
export-draft,,
export-fdx,,
export-json,,
export-language-csv,globe,
export-panel-layout,export,
export-pdf-builtin,,
export-rtf,,
export-watermark,,
export-zip,,
floorplan,floorplan,
fmt,,
fmt:code,,
fmt:heading:4,,
fmt:hr,,
fmt:quote,,
gallery-board,palette,
gallery-dups,search,
gallery-export-used,export,
gallery-new-album,,
gallery-unused,broom,
goto-page:1,skip-previous,
goto:page,,
goto:scene,,
home,home,
import-language-csv,globe,
import-script,,
insert-shortcode,,
lang-fonts,font,
maps,,
markdown-codes,eye,
network,network,
new-entity,,
open-project-path,,
page-guides,,
page-headers,page-header,
page-numbers,,
page-setup,ruler,
panel-system,frame,
panels-side-bottom,panel-bottom,
panels-side-left,panel-left,
panels-side-right,panel-right,
panels-side-top,panel-top,
planner,,
planner-align,,
planner-valign,,
player-history,,
player-mode,play,
plugin:k2test:hello,,
project-setup,film,
prose-indent,,
prose-setup,book-open,
remove-elements,broom,
reset-panels,,
revert,return,
roster,mask,
scene-numbers,,
set-format,,
set-format:prose,book-open,
set-format:screenplay,film,
show-log,,
show-panel,,
smart-manage,brain,
sp-auto-capitalize,,
sp-auto-correct-i,,
sp-check-all,,
sp-check-toggle,,
sp-compare,chart,
sp-continued,,
sp-element,,
sp-element-caps,,
sp-extension,character-extension,
sp-force-case,,
sp-report,,
sp-report:character,group,
sp-report:chart,chart,
sp-report:location,map,
sp-show-format,,
sp-thai-font,,
sp-view,,
sp-view:draft,,
sp-view:layout,,
sp-view:normal,,
sp-view:overview1,,
sp-view:overview4,,
sp-view:side,,
split-add,,
split-close,,
split-view:down,,
split-view:right,,
story-starter,,
story-starter-toggle,book-open,
sync-scene-meta,refresh,
test-run,,
text-case,,
text-case:aC,,
text-case:CC,,
text-case:iC,,
text-case:lc,,
text-case:SC,,
text-case:TC,,
text-case:UC,,
timeline,timeline,
title-pages,file,
toggle-fab,,
toggle-home-always,,
toggle-open-last,,
toggle-panel,,
toggle-theme,,
toolbar-config,,
type-sound,volume,
ui-scale,,
ui-scale:-1,,
ui-scale:0,,
ui-scale:1,,
ui:filter-archive-toggle,archive,
ui:find-close,,
ui:find-next,,
ui:find-prev,,
ui:find-rep1,,
ui:find-repall,,
ui:tb-case,text-case,
ui:tb-color,,
ui:tb-highlight,highlight,
ui:tb-indent,,
ui:tb-plug,extension,
ui:tb-quote,quote-left,
ui:tb-source,code-alt,
ui:tb-sp-cont,,
ui:tb-sp-ext,character-extension,
ui:tb-visual,image,
visual-tags,,
word-history,,
workspace,,
zoom,,
zoom:fit,,
