icon_id,glyph,unicode,name,status,file,line,context,position,i18n_key,snippet
I069,→,U+2192,,keep_text,languages/k2_en.csv,6,i18n,กลางข้อความ,ui.ai.aiChatRAGUse,ai chat: RAG ใช้ไม่ได้ → ถามตรง ๆ
I086,✨,U+2728,magic,need_svg,languages/k2_en.csv,9,i18n,นำหน้าข้อความ,ui.ai.assistantTitle,✨ AI writing assistant
I069,→,U+2192,,keep_text,languages/k2_en.csv,13,i18n,กลางข้อความ,ui.ai.cantSettingsAPIKey,ยังไม่ได้ตั้งค่า API key (ไฟล์ → ตั้งค่า AI)
I143,🎭,U+1F3AD,mask,need_svg,languages/k2_en.csv,22,i18n,นำหน้าข้อความ,ui.ai.consistTitle,🎭 Consistency check —
I143,🎭,U+1F3AD,mask,need_svg,languages/k2_en.csv,23,i18n,นำหน้าข้อความ,ui.ai.consistWorking,🎭 Checking consistency…
I082,💬,U+1F4AC,chat,has_svg,languages/k2_en.csv,30,i18n,นำหน้าข้อความ,ui.ai.dialogueTitle,💬 Generate dialogue
I072,❌,U+274C,x,has_svg,languages/k2_en.csv,36,i18n,นำหน้าข้อความ,ui.ai.errorMark,❌ Something went wrong
I074,⚠,U+26A0,error,has_svg,languages/k2_en.csv,49,i18n,นำหน้าข้อความ,ui.ai.hasRoundCallAI,⚠ มี {0} รอบที่เรียก AI ไม่สำเร็จ
I107,📥,U+1F4E5,import,need_svg,languages/k2_en.csv,52,i18n,นำหน้าข้อความ,ui.ai.insert,📥 แทรก
I107,📥,U+1F4E5,import,need_svg,languages/k2_en.csv,55,i18n,นำหน้าข้อความ,ui.ai.insertScene,📥 แทรกลงฉาก
I072,❌,U+274C,x,has_svg,languages/k2_en.csv,60,i18n,นำหน้าข้อความ,ui.ai.needBothChars,❌ Enter both character names
I069,→,U+2192,,keep_text,languages/k2_en.csv,61,i18n,กลางข้อความ,ui.ai.needSetup,Set up AI first: File → AI settings
I077,▶,U+25B6,play,need_svg,languages/k2_en.csv,62,i18n,นำหน้าข้อความ,ui.ai.new,▶ สร้าง
I099,✅,U+2705,check-circle,need_svg,languages/k2_en.csv,64,i18n,นำหน้าข้อความ,ui.ai.noInconsist,✅ No inconsistencies found
I099,✅,U+2705,check-circle,need_svg,languages/k2_en.csv,65,i18n,นำหน้าข้อความ,ui.ai.noPlotHoles,✅ No plot holes found
I079,🔍,U+1F50D,search,has_svg,languages/k2_en.csv,80,i18n,นำหน้าข้อความ,ui.ai.plotTitle,🔍 Plot hole check
I079,🔍,U+1F50D,search,has_svg,languages/k2_en.csv,81,i18n,นำหน้าข้อความ,ui.ai.plotWorking,🔍 Checking for plot holes…
I072,❌,U+274C,x,has_svg,languages/k2_en.csv,83,i18n,นำหน้าข้อความ,ui.ai.readFail,❌ Could not read file:
I077,▶,U+25B6,play,need_svg,languages/k2_en.csv,84,i18n,นำหน้าข้อความ,ui.ai.result,▶ ประมวลผล
I107,📥,U+1F4E5,import,need_svg,languages/k2_en.csv,89,i18n,นำหน้าข้อความ,ui.ai.saveWiki,📥 บันทึกลง Wiki
I111,📎,U+1F4CE,paperclip,need_svg,languages/k2_en.csv,94,i18n,นำหน้าข้อความ,ui.ai.sources,📎 Sources:
I259,🌍,U+1F30D,globe,has_svg,languages/k2_en.csv,116,i18n,นำหน้าข้อความ,ui.ai.worldTitle,🌍 World builder
I069,→,U+2192,,keep_text,languages/k2_en.csv,260,i18n,กลางข้อความ,ui.aia.runRange,{0} → {1} · {2} in a row
I069,→,U+2192,,keep_text,languages/k2_en.csv,331,i18n,กลางข้อความ,ui.aia.toolCheckFindWord,เครื่องมือ → ตรวจหาคำซ้ำ · AI → ตรวจ Plot Hole · AI → ตรวจความสอดคล้อง
I069,→,U+2192,,keep_text,languages/k2_en.csv,331,i18n,กลางข้อความ,ui.aia.toolCheckFindWord,เครื่องมือ → ตรวจหาคำซ้ำ · AI → ตรวจ Plot Hole · AI → ตรวจความสอดคล้อง
I069,→,U+2192,,keep_text,languages/k2_en.csv,331,i18n,กลางข้อความ,ui.aia.toolCheckFindWord,เครื่องมือ → ตรวจหาคำซ้ำ · AI → ตรวจ Plot Hole · AI → ตรวจความสอดคล้อง
I146,⚡,U+26A1,zap,need_svg,languages/k2_en.csv,471,i18n,นำหน้าข้อความ,ui.aiChatPanel.actCmdOk,⚡ ลงมือทำ {0} คำสั่ง — สำเร็จ {1}/{2}
I074,⚠,U+26A0,error,has_svg,languages/k2_en.csv,481,i18n,นำหน้าข้อความ,ui.aiChatPanel.aIDelProject,⚠ AI ขอลบของในโปรเจกต์:
I107,📥,U+1F4E5,import,need_svg,languages/k2_en.csv,484,i18n,นำหน้าข้อความ,ui.aiChatPanel.arrangeKeep,📥 จัดเก็บ
I104,🤖,U+1F916,bot,has_svg,languages/k2_en.csv,488,i18n,นำหน้าข้อความ,ui.aiChatPanel.assistant,🤖 ผู้ช่วย
I069,→,U+2192,,keep_text,languages/k2_en.csv,490,i18n,กลางข้อความ,ui.aiChatPanel.btnSendSetFile,ปุ่มส่งตั้งได้ที่ ไฟล์ → ตั้งค่า AI
I146,⚡,U+26A1,zap,need_svg,languages/k2_en.csv,491,i18n,นำหน้าข้อความ,ui.aiChatPanel.busyAct,⚡ กำลังลงมือทำ
I104,🤖,U+1F916,bot,has_svg,languages/k2_en.csv,492,i18n,นำหน้าข้อความ,ui.aiChatPanel.busyThink,🤖 กำลังคิด…
I104,🤖,U+1F916,bot,has_svg,languages/k2_en.csv,493,i18n,นำหน้าข้อความ,ui.aiChatPanel.busyThinkNext,🤖 กำลังคิดต่อ…
I072,❌,U+274C,x,has_svg,languages/k2_en.csv,498,i18n,นำหน้าข้อความ,ui.aiChatPanel.cantSettingsProviderAI,❌ ยังไม่ได้ตั้งค่าผู้ให้บริการ AI — ไฟล์ → ตั้งค่า AI
I069,→,U+2192,,keep_text,languages/k2_en.csv,498,i18n,กลางข้อความ,ui.aiChatPanel.cantSettingsProviderAI,❌ ยังไม่ได้ตั้งค่าผู้ให้บริการ AI — ไฟล์ → ตั้งค่า AI
I095,✎,U+270E,edit,has_svg,languages/k2_en.csv,499,i18n,นำหน้าข้อความ,ui.aiChatPanel.changeName,✎ เปลี่ยนชื่อ
