id,kind,glyph,unicode,name,svg_file,status,source_or_suggest,nerdfont,code_refs,i18n_refs,test_refs,files,defined_at,note
I001,svg,,,align-center,svg/align-center.svg,has_svg,Boxicons,U+F037,1,0,0,renderer/index.html:102,src/icons.js:7,
I002,svg,,,align-justify,svg/align-justify.svg,has_svg,Boxicons,U+F039,1,0,0,renderer/index.html:104,src/icons.js:9,
I003,svg,,,align-left,svg/align-left.svg,has_svg,Boxicons,U+F036,1,0,0,renderer/index.html:101,src/icons.js:6,
I004,svg,,,align-right,svg/align-right.svg,has_svg,Boxicons,U+F038,1,0,0,renderer/index.html:103,src/icons.js:8,
I005,svg,,,archive,svg/archive.svg,has_svg,bxs:archive-in,U+F187,4,0,0,app.js:4593; gallery.js:1197; toolbar/fab-config.js:54; renderer/index.html:192,src/icons.js:43,
I006,svg,,,arrow-down,svg/arrow-down.svg,missing,,,1,0,0,app.js:2183,,โค้ดเรียกชื่อนี้แต่ icons.js ไม่มี → ได้ SVG ว่าง
I007,svg,,,bold,svg/bold.svg,has_svg,Boxicons,U+F032,1,0,0,renderer/index.html:87,src/icons.js:10,
I008,svg,,,book,svg/book.svg,has_svg,Boxicons,U+F02D,5,0,0,app.js:8666; app.js:13707; app.js:14589; relationship-types.js:10; renderer/index.html:158,src/icons.js:29,
I009,svg,,,book-content,svg/book-content.svg,has_svg,bxs:book-bookmark,U+F02D,13,0,0,ai/ai-hub-def.js:41; app.js:4111; panels/panel-ui.js:37; panels/panel-ui.js:61; panels/panel-ui.js:64; panels/panel-ui.js:108; panels/panel-ui.js:124; toolbar/fab-config.js:36; toolbar/fab-config.js:55; renderer/index.html:120; renderer/index.html:147; renderer/index.html:159; renderer/index.html:188,src/icons.js:44,
I010,svg,,,book-open,svg/book-open.svg,has_svg,Boxicons,U+F518,3,0,0,toolbar/fab-config.js:43; renderer/index.html:118; renderer/index.html:143,src/icons.js:30,
I011,svg,,,bookmark,svg/bookmark.svg,has_svg,Boxicons,U+F02E,6,0,0,core.js:456; gallery/album-tags.js:15; relationship-types.js:13; wiki.js:240; wiki.js:284; renderer/index.html:169,src/icons.js:49,
I012,svg,,,bot,svg/bot.svg,has_svg,Boxicons,U+EBE1,1,0,0,renderer/index.html:137,src/icons.js:20,
I013,svg,,,brain,svg/brain.svg,has_svg,Boxicons,U+EB61,9,0,0,ai/ai-hub-def.js:54; ai-analyzer-ui.js:588; ai-hub-ui.js:89; panels/panel-ui.js:78; panels/panel-ui.js:82; wiki.js:145; wiki.js:352; renderer/index.html:139; renderer/index.html:145,src/icons.js:53,
I014,svg,,,briefcase,svg/briefcase.svg,has_svg,Boxicons,U+F0B1,2,0,0,core.js:456; toolbar/fab-config.js:35,src/icons.js:48,
I015,svg,,,camera,svg/camera.svg,has_svg,Boxicons,U+F030,2,0,0,wiki.js:228; renderer/index.html:167,src/icons.js:51,
I016,svg,,,chart,svg/chart.svg,has_svg,bxs:bar-chart-square,U+F080,2,0,0,toolbar/fab-config.js:46; renderer/index.html:136,src/icons.js:74,
I017,svg,,,chat,svg/chat.svg,has_svg,bxs:message-rounded-dots,U+F086,13,0,0,ai/ai-hub-def.js:36; ai/ai-hub-def.js:38; ai/ai-hub-def.js:46; panels/panel-ui.js:54; panels/panel-ui.js:86; panels/panel-ui.js:115; panels/panel-ui.js:120; relationship-types.js:11; sensory-profile.js:8; renderer/index.html:141; renderer/index.html:151; renderer/index.html:152; renderer/index.html:168,src/icons.js:35,
