meta.code,en
meta.name,English
meta.nativeName,English
meta.version,3
meta.author,Killian 2
ui.about.changelog,What's new
ui.about.checkUpdate,Check for updates
ui.about.credits,Credits
ui.about.dataFolder,Project folder
ui.ai.aiChatRAGUse,ai chat: RAG unavailable → asking directly
ui.ai.aiChatStreamFail,ai chat: stream failed
ui.ai.aPIKeyNotValid,The API key is invalid or has expired (HTTP 
ui.ai.assistantTitle,AI writing assistant
ui.ai.callAINotOk,The AI call failed (HTTP 
ui.ai.callFail,AI call failed
ui.ai.callTryNewTimes,Too many requests — please try again (HTTP 429)
ui.ai.cantSettingsAPIKey,No API key set yet (menu AI → AI settings)
ui.ai.charA,Character A: 
ui.ai.charADesc,"Character A description (personality, speech, goal…)"
ui.ai.charB,Character B: 
ui.ai.charBDesc,Character B description
ui.ai.chatPlaceholder,Ask about your story…
ui.ai.collecting,Collecting data…
ui.ai.collectingScenes,Collecting scenes…
ui.ai.connectAICant,Cannot connect to the AI: 
ui.ai.consistTitle,Consistency check — 
ui.ai.consistWorking,Checking consistency…
ui.ai.ctxLabel,Context: 
ui.ai.dataRefProject,Reference material from the project
ui.ai.description,Description
ui.ai.detailLabel,Details:
ui.ai.dialogueCtx,"Scene context (situation, place, goal…)"
ui.ai.dialogueLabel,Dialogue:
ui.ai.dialogueTitle,Generate dialogue
ui.ai.dialogueWorking,Generating dialogue…
ui.ai.edit,Prose
ui.ai.entityReadFail,Could not read the entity file
ui.ai.entityUnnamed,Unnamed entity
ui.ai.error,Something went wrong
ui.ai.errorMark,Something went wrong
ui.ai.errorRetry,"Something went wrong, please try again"
ui.ai.evidenceLabel,Evidence: 
ui.ai.extraHint,Extra instructions (optional)
ui.ai.fileKeepKeyPart,This file holds your private key — do not share it or include it in a zip you pass on
ui.ai.formatLabel,Format: 
ui.ai.foundDotCheckRound,Found {0} {0|issue|issues} · {1} {1|pass|passes} checked
ui.ai.foundDotSceneAppear,Found {0} {0|issue|issues} in {1} {1|scene|scenes} where they appear
ui.ai.freeform,Freeform
ui.ai.general,General
ui.ai.generating,AI is writing...
ui.ai.genSynopsis,Let AI write it
ui.ai.greeting,"Hi! Ask me anything about your story, e.g."
ui.ai.hasRoundCallAI,{0} AI {0|call|calls} failed
ui.ai.important,Major
ui.ai.inputLabel,Text to process
ui.ai.insert,Insert
ui.ai.insertedDialogue,Dialogue inserted into the scene
ui.ai.insertedResult,AI result inserted into the scene
ui.ai.insertScene,Insert into scene
ui.ai.kindLabel,Kind: 
ui.ai.msg,Critical
ui.ai.nameA,Character A name
ui.ai.nameB,Character B name
ui.ai.needBothChars,Enter both character names
ui.ai.needSetup,Set up AI first: menu AI → AI settings
ui.ai.new,Create
ui.ai.noAnswer,(no answer)
ui.ai.noInconsist,No inconsistencies found
ui.ai.noPlotHoles,No plot holes found
ui.ai.noProject,No project is open
ui.ai.noScenes,(no scenes in this project)
ui.ai.notChangeTone,Keep the tone
ui.ai.notKnownProvider,Unknown provider: 
ui.ai.notSet,(not set)
ui.ai.opContinue,Continue
ui.ai.openProjectFirst,Open a project first
ui.ai.opExpand,Expand
ui.ai.opLabel,Operation: 
ui.ai.opRewrite,Rewrite
ui.ai.opSummarize,Summarize
ui.ai.opTone,Change tone
ui.ai.orWord,or
ui.ai.partialKept,Kept the text received before the connection dropped
ui.ai.pickEntity,Select an entity (character) first
ui.ai.plotTitle,Plot hole check
ui.ai.plotWorking,Checking for plot holes…
ui.ai.readAnswerAICant,Could not read the AI's answer (not JSON)
ui.ai.readFail,Could not read file: 
ui.ai.result,Processing
ui.ai.resultLabel,Result:
ui.ai.sample1,Who are the characters in this story?
ui.ai.sample2,Summarize the fight scenes for me
ui.ai.savedToWiki,Saved to the Wiki: 
ui.ai.saveWiki,Save to Wiki
ui.ai.sceneLabel,Scene: 
ui.ai.searchingProject,Searching the project…
ui.ai.sendingToAi,Sending to AI…
ui.ai.smallLess,Minor
ui.ai.sources,Sources: 
ui.ai.speakerLabel,Speaker: 
ui.ai.textLabel,Text:
ui.ai.textNotOk,Text stream failed: 
ui.ai.toneCasual,Casual
ui.ai.toneConcise,Concise
ui.ai.toneDark,Dark
ui.ai.toneDetailed,Detailed
ui.ai.toneFormal,Formal
ui.ai.toneFunny,Funny
ui.ai.toneLabel, Tone: 
ui.ai.toneRomantic,Romantic
ui.ai.toneTense,Tense
ui.ai.useDataContextMain,"Rely mainly on the context provided. If the information is not there, say it was not found. Answer in English."
ui.ai.wCity,City
ui.ai.wCulture,Culture
ui.ai.wEconomy,Economy
ui.ai.wFaction,Faction
ui.ai.wMagic,Magic system
ui.ai.wordAsk,Question: 
ui.ai.working,Working…
ui.ai.worldPrompt,"Describe what to build (e.g. ""a magic system that costs blood"")"
ui.ai.worldTitle,World builder
ui.ai.wReligion,Religion
ui.ai.youAssistantWriterReply,You are a writing assistant. Answer questions about the user's story. 
ui.aia.adjKeep,Keep
ui.aia.adjLessComedy,Less comedy
ui.aia.adjLessDrama,Less drama
ui.aia.adjMoreComedy,More comedy
ui.aia.adjMoreDrama,More drama
ui.aia.aiHead,AI reading
ui.aia.aiNoFinding,The AI found nothing worth flagging
