meta.code,th
meta.name,Thai
meta.nativeName,ไทย
meta.version,2
meta.author,Killian 2
# ---- ข้อความที่มีคีย์ (ใช้กับ data-i18n ใน index.html ด้วย) ----,
ui.ai.assistantTitle,✨ AI ผู้ช่วยเขียน
ui.ai.callFail,เรียก AI ไม่สำเร็จ
ui.ai.charA,ตัวละคร A: 
ui.ai.charADesc,"คำอธิบายตัวละคร A (บุคลิก, พูดจา, เป้าหมาย…)"
ui.ai.charB,ตัวละคร B: 
ui.ai.charBDesc,คำอธิบายตัวละคร B
ui.ai.chatPlaceholder,ถามเกี่ยวกับเรื่องของคุณ…
ui.ai.collecting,กำลังรวบรวมข้อมูล…
ui.ai.collectingScenes,กำลังรวบรวมข้อมูลฉาก…
ui.ai.consistTitle,🎭 ตรวจสอบความสม่ำเสมอ — 
ui.ai.consistWorking,🎭 กำลังตรวจสอบความสม่ำเสมอ…
ui.ai.ctxLabel,บริบท: 
ui.ai.description,คำอธิบาย
ui.ai.detailLabel,รายละเอียด:
ui.ai.dialogueCtx,"บริบทของบทสนทนา (สถานการณ์, สถานที่, เป้าหมาย…)"
ui.ai.dialogueLabel,บทสนทนา:
ui.ai.dialogueTitle,💬 สร้างบทสนทนา
ui.ai.dialogueWorking,กำลังสร้างบทสนทนา…
ui.ai.entityReadFail,อ่านไฟล์เอนทิตี้ไม่สำเร็จ
ui.ai.entityUnnamed,เอนทิตี้ไม่มีชื่อ
ui.ai.error,เกิดข้อผิดพลาด
ui.ai.errorMark,❌ เกิดข้อผิดพลาด
ui.ai.errorRetry,เกิดข้อผิดพลาด กรุณาลองใหม่
ui.ai.evidenceLabel,หลักฐาน: 
ui.ai.extraHint,คำแนะนำเพิ่มเติม (ถ้ามี)
ui.ai.formatLabel,รูปแบบ: 
ui.ai.freeform,สร้างตามจินตนาการ
ui.ai.genSynopsis,ให้ AI เขียนให้
ui.ai.general,ทั่วไป
ui.ai.generating,กำลังให้ AI เขียน…
ui.ai.greeting,สวัสดี! ถามอะไรเกี่ยวกับเรื่องของคุณได้เลย เช่น
ui.ai.inputLabel,ข้อความที่จะประมวลผล
ui.ai.insertedDialogue,แทรกบทสนทนาลงฉากแล้ว
ui.ai.insertedResult,แทรกผลลัพธ์ AI ลงฉากแล้ว
ui.ai.kindLabel,ประเภท: 
ui.ai.needBothChars,❌ กรุณาใส่ชื่อตัวละครทั้งสอง
ui.ai.needSetup,ตั้งค่า AI ที่ ไฟล์ → ตั้งค่า AI ก่อน
ui.ai.noAnswer,(ไม่มีคำตอบ)
ui.ai.noInconsist,✅ ไม่พบความไม่สม่ำเสมอ
ui.ai.noPlotHoles,✅ ไม่พบจุดบกพร่องของพล็อต
ui.ai.noProject,ยังไม่ได้เปิดโปรเจกต์
ui.ai.noScenes,(ไม่พบฉากในโปรเจกต์นี้)
ui.ai.opContinue,เขียนต่อ
ui.ai.opExpand,ขยายความ
ui.ai.opLabel,คำสั่ง: 
ui.ai.opRewrite,เขียนใหม่
ui.ai.opSummarize,สรุปความ
ui.ai.opTone,เปลี่ยนโทน
ui.ai.openProjectFirst,เปิดโปรเจกต์ก่อน
ui.ai.orWord,หรือ
ui.ai.pickEntity,เลือกเอนทิตี้ (ตัวละคร) ก่อน
ui.ai.plotTitle,🔍 ตรวจสอบ Plot Hole
ui.ai.plotWorking,🔍 กำลังตรวจสอบ Plot Holes…
ui.ai.readFail,❌ อ่านไฟล์ไม่สำเร็จ: 
ui.ai.resultLabel,ผลลัพธ์:
ui.ai.sample1,เรื่องนี้มีตัวละครอะไรบ้าง
ui.ai.sample2,ช่วยสรุปฉากที่มีไฟต์ให้หน่อย
ui.ai.savedToWiki,บันทึกลง Wiki แล้ว: 
ui.ai.sceneLabel,ฉาก: 
ui.ai.searchingProject,กำลังค้นข้อมูลในโปรเจกต์…
ui.ai.sendingToAi,กำลังส่งให้ AI วิเคราะห์…
ui.ai.sources,📎 อ้างอิง: 
ui.ai.speakerLabel,ผู้พูด: 
ui.ai.textLabel,ข้อความ:
ui.ai.toneCasual,กันเอง
ui.ai.toneConcise,กระชับ
ui.ai.toneDark,มืดหม่น
ui.ai.toneDetailed,บรรยายละเอียด
ui.ai.toneFormal,ทางการ
ui.ai.toneFunny,ตลก
ui.ai.toneLabel, โทน: 
ui.ai.toneRomantic,โรแมนติก
ui.ai.toneTense,ระทึก
ui.ai.wCity,เมือง
ui.ai.wCulture,วัฒนธรรม
ui.ai.wEconomy,เศรษฐกิจ
ui.ai.wFaction,กลุ่ม/ฝ่าย
ui.ai.wMagic,ระบบเวทมนตร์
ui.ai.wReligion,ศาสนา
ui.ai.working,กำลังประมวลผล…
ui.ai.worldPrompt,"อธิบายสิ่งที่ต้องการสร้าง (เช่น ""ระบบเวทมนตร์ที่ใช้เลือดเป็นต้นทุน"")"
ui.ai.worldTitle,🌍 สร้างโลก
ui.aia.foot,ระหว่างนี้ใช้ของที่ทำงานจริงได้แล้ว: เครื่องมือ → ตรวจหาคำซ้ำ · AI → ตรวจ Plot Hole · AI → ตรวจความสอดคล้อง
ui.aia.lead,ชุดเครื่องมือวิเคราะห์ต้นฉบับด้วย AI ที่กำลังจะมา ตอนนี้แสดงเป็นตัวอย่างหน้าตาเพื่อให้เห็นว่าแต่ละหัวข้อจะบอกอะไรบ้าง
ui.aia.mockup,ตัวอย่างหน้าตา — ยังไม่เปิดใช้งาน
ui.aia.run,วิเคราะห์
ui.allShortcutsTitle,⌨ ปุ่มลัดทั้งหมด
ui.app.chapterProps,คุณสมบัติบท…
ui.app.home,หน้าแรก
ui.app.loading,กำลังโหลด…
ui.app.newProject,สร้างโปรเจกต์ใหม่…
ui.app.openProject,เปิดโปรเจกต์…
ui.app.project,โปรเจกต์
ui.app.ready,พร้อม
ui.app.saveAll,บันทึกทั้งหมด
ui.app.saved,บันทึกแล้ว
ui.app.saving,กำลังบันทึก…
ui.app.searching,กำลังค้นหา…
ui.app.sectionProps,คุณสมบัติเล่ม…
ui.app.title,Killian 2
ui.branch.add,เพิ่ม
ui.branch.addChoice,เพิ่มทางเลือก:
ui.branch.addChoiceBtn,เพิ่มทางเลือก
ui.branch.addToThis,เพิ่มทางเลือกให้ฉากนี้
ui.branch.addToThisHint,สร้างทางเลือกใหม่ พร้อมแทรก [ข้อความ] ลงท้ายฉากให้ด้วย
ui.branch.added,เพิ่มทางเลือกแล้ว
ui.branch.addedFromText,เพิ่มทางเลือกจากข้อความ 
ui.branch.addedFromTextTail, รายการ — ไปกำหนดปลายทางที่ผังแตกสาย
ui.branch.allLinked,ทางเลือกในฉากนี้ผูกครบแล้ว (
ui.branch.allPaths,เส้นทางที่เป็นไปได้
ui.branch.brokenHint,ฉากปลายทางถูกลบหรือย้ายออกไปแล้ว — เลือกฉากต้นทางเพื่อไปแก้ปลายทางใหม่ หรือลบทางเลือกทิ้ง
ui.branch.brokenTitle,ทางเลือกที่ชี้ไปฉากที่ไม่มีแล้ว
ui.branch.cardColor,สีการ์ดฉาก
ui.branch.chapterOf,บท: 
ui.branch.choiceCount,ทางเลือก: 
ui.branch.choiceEg,เช่น ไปตลาด
ui.branch.choiceText,ข้อความทางเลือก
ui.branch.choiceTextPh,"ข้อความทางเลือก เช่น ""เปิดประตู"""
ui.branch.close,ปิด
ui.branch.colorClear,ล้างสีการ์ดแล้ว
ui.branch.colorNone,ไม่กำหนดสี
ui.branch.colorSet,เปลี่ยนสีการ์ดแล้ว
ui.branch.copied,คัดลอกแล้ว
ui.branch.copyFail,คัดลอกไม่สำเร็จ
ui.branch.copyPaths,คัดลอกทั้งหมด
ui.branch.delChoice,ลบทางเลือกนี้
ui.branch.docChoices,ทางเลือกในเนื้อฉาก
ui.branch.docHint,พิมพ์ [ข้อความ] ในฉากตรงจุดที่เรื่องแตกสาย เช่น [ไปตลาด] แล้วกดผูกที่นี่
ui.branch.docInsert,แทรกลงฉาก
ui.branch.docInserted,แทรกลงท้ายฉากแล้ว
ui.branch.docLink,ผูกเป็นทางเลือก
ui.branch.docLinkAll,ผูกทั้งหมด
ui.branch.docLinked,ผูกกับข้อความแล้ว
ui.branch.docLinked1,ผูกเป็นทางเลือกแล้ว
ui.branch.docLinkedAll,ผูกทางเลือกจากข้อความครบแล้ว
ui.branch.docMissing,พบในข้อความแต่ยังไม่เป็นทางเลือก
ui.branch.docNone,ฉากนี้ยังไม่มี [ข้อความ] ทางเลือกในเนื้อเรื่อง
ui.branch.docOrphan,เป็นทางเลือกแต่ไม่มีข้อความในฉาก
ui.branch.dragChoice,ลากไปวางบนฉากอื่นเพื่อย้ายทางเลือกนี้
ui.branch.dragHint,ลากแถบ ⠿ ไปวางบนการ์ดฉากอื่น = ย้ายทางเลือกไปฉากนั้น
ui.branch.emptyGraph,ยังไม่มีฉากที่มีทางเลือก
ui.branch.emptyHint,"ยังไม่มีฉากที่มีทางเลือก — เพิ่มได้ที่แถบ ""เพิ่มทางเลือก"" ด้านบน แล้วผังจะขึ้นทันที"
ui.branch.expDone,ส่งออกผังแล้ว: 
ui.branch.expHtml,HTML tree (คลิกได้ · มีเนื้อฉากย่อ)
ui.branch.expJson,JSON (โครงสร้างล้วน — เข้าเครื่องมืออื่น)
ui.branch.expMd,Markdown outline (รายการย่อหน้า)
ui.branch.expPng,PNG (ภาพผัง — ส่งในแชต/สไลด์)
ui.branch.expSvg,SVG (ภาพผังแบบเวกเตอร์)
ui.branch.exportHint,ส่งออกผัง — HTML / Markdown / JSON / SVG / PNG
ui.branch.filterPaths,กรองเส้นทาง — พิมพ์ชื่อฉากที่ต้องมีในเส้นทาง
ui.branch.findHint,พิมพ์เพื่อเน้นเฉพาะฉากที่ตรง — ที่เหลือจะจางลง
ui.branch.findPlaceholder,ค้นชื่อฉาก / ทางเลือก / แท็ก
ui.branch.fixIt,ไปแก้
ui.branch.fromScenes,จาก
ui.branch.goTo,ไปยัง: 
ui.branch.goneScene,ฉากหาย
ui.branch.hideSide,ซ่อนแผงทางเลือก
ui.branch.hideThis,ซ่อนแผงนี้
ui.branch.insertedDirty,แทรกในไฟล์แล้ว — ฉากที่เปิดอยู่ยังไม่บันทึก กดบันทึกทับได้เลยถ้าไม่ต้องการ
ui.branch.inspector,ทางเลือกของฉาก
ui.branch.items,รายการ
ui.branch.labelClick,คลิกเพื่อเปิดฉากต้นทาง
ui.branch.lineColor,สีเส้นของทางเลือกนี้
ui.branch.lineColorClear,ล้างสีเส้นแล้ว
ui.branch.lineColorSet,เปลี่ยนสีเส้นแล้ว
ui.branch.loopBack,วนกลับ
ui.branch.mergeAsk,รวมทางเลือกที่ซ้ำกัน
ui.branch.mergeDupHint,รวมทางเลือกที่ซ้ำกัน
ui.branch.mergeNote,ข้อความเดียวกันแต่ไปคนละฉากจะไม่ถูกยุบ
ui.branch.mergeOk,รวมเลย
ui.branch.mergedDone,รวมทางเลือกซ้ำแล้ว
ui.branch.moved,ย้ายการ์ดแล้ว — กด ⟲ เพื่อจัดผังใหม่อัตโนมัติ
ui.branch.movedChoice,ย้ายทางเลือก
ui.branch.needFromText,เลือกฉากและใส่ข้อความทางเลือกก่อน
